County,Cluster
09003,1
09001,1
09007,1
09005,1
09013,1
09015,1
09011,1
09009,1
23001,6
23003,6
23005,6
23015,6
23013,1
23021,5
23019,6
23017,6
23007,4
23009,6
23023,1
23011,6
23025,2
23031,2
23027,2
23029,2
25001,1
25003,4
25005,1
25021,1
25023,1
25013,1
25011,1
25017,1
25015,1
25025,1
25007,1
25009,1
25019,1
25027,6
33009,6
33005,1
33007,6
33001,4
33003,6
33011,1
33019,1
33017,1
33015,1
33013,1
44009,3
44001,3
44003,3
44005,3
44007,3
50007,4
50003,4
50005,6
50001,4
50025,4
50017,4
50027,4
50009,5
50015,4
50019,4
50021,4
50013,4
50023,4
50011,4
