County,Cluster
23029,1
50025,1
44007,6
23025,1
25009,6
33019,1
23023,1
44001,1
23013,1
50005,1
25017,3
25019,1
23001,5
23007,1
09003,2
33009,5
23017,1
50017,1
44009,5
50023,1
33013,5
23031,5
23015,1
09009,2
44003,5
25013,4
50001,1
50011,1
25023,4
25007,1
50013,1
33017,5
09011,5
50015,1
09013,5
25005,4
50007,5
50027,1
09007,5
23027,1
50009,1
25015,5
25025,2
33001,1
23019,5
33015,4
25001,5
23021,1
25003,5
09005,5
09015,1
50021,1
23011,5
25021,6
25027,6
23009,1
50019,1
23003,1
33011,4
50003,1
25011,1
33005,1
44005,5
33007,1
09001,2
33003,1
23005,4
